iter	Logloss
0	0.6544962373
1	0.6236149731
2	0.597438876
3	0.5781416947
4	0.558710502
5	0.5458126164
6	0.533968658
7	0.5241055368
8	0.5156755286
9	0.5097193633
10	0.5051136172
11	0.501057127
12	0.4974505859
13	0.4940631857
14	0.4914068887
15	0.4891777999
16	0.4862322196
17	0.4843693517
18	0.4825693496
19	0.4803131004
20	0.4789689347
21	0.4776071524
22	0.4764853515
23	0.4749787023
24	0.4736023594
25	0.4723814977
26	0.4718108362
27	0.4707709091
28	0.4699033028
29	0.4689559044
30	0.4683598433
31	0.4671550242
32	0.4664385136
33	0.4658263917
34	0.4647649767
35	0.4639922649
36	0.4632840827
37	0.4626823791
38	0.4619815586
39	0.4609780645
40	0.4602496149
41	0.45972328
42	0.4593586528
43	0.4586387356
44	0.4583726128
45	0.457894239
46	0.4573970192
47	0.456381292
48	0.4556979383
49	0.4551080629
50	0.4546966756
51	0.4542848476
52	0.4537538421
53	0.4531629672
54	0.4525685048
55	0.452159645
56	0.4516770618
57	0.4513806288
58	0.4508345138
59	0.4501970015
60	0.4497784577
61	0.4493323412
62	0.4491146033
63	0.448710531
64	0.4483251652
65	0.4480215596
66	0.4476809805
67	0.4472415522
68	0.4468162641
69	0.4466600467
70	0.446276988
71	0.4459940034
72	0.4455944682
73	0.4451188725
74	0.4450243635
75	0.4446692617
76	0.4445131857
77	0.4443837861
78	0.4442054279
79	0.4440225295
80	0.4438341759
81	0.4435944644
82	0.4430526682
83	0.4426680021
84	0.4424857561
85	0.4420452468
86	0.4419156468
87	0.4415904098
88	0.4414704306
89	0.4410943835
90	0.4409079075
91	0.4405033023
92	0.4402648316
93	0.4400513567
94	0.4398914328
95	0.4394603619
96	0.4393309503
97	0.4391218449
98	0.4384420748
99	0.4382968579
100	0.4379953049
101	0.4377189678
102	0.4374900339
103	0.4371767224
104	0.4369127709
105	0.4365658188
106	0.4363513428
107	0.4361820801
108	0.4360611352
109	0.43590373
110	0.4357820541
111	0.4356763192
112	0.4354985648
113	0.4354063418
114	0.4352581448
115	0.4351616774
116	0.4350132609
117	0.4348595416
118	0.4347631691
119	0.4344771836
120	0.4341805052
121	0.4339883778
122	0.4339153485
123	0.4338484118
124	0.4337024499
125	0.4335051158
